oas, price,  spread_dur, spread_risk, spread_convx
0.0000, 1.1378, 2.6253, 2.9872, 0.000423
0.0050, 1.1225, 2.9842, 3.3497, 0.000532
0.0100, 1.1056, 3.0482, 3.3702, 0.000783
0.0150, 1.0877, 3.3966, 3.6945, 0.000598
0.0200, 1.0691, 3.5696, 3.8160, -0.027432
0.0250, 1.0492, 3.8201, 4.0079, -0.002988
0.0300, 1.0289, 4.0140, 4.1300, 0.000412
0.0350, 1.0084, 4.0863, 4.1205, 0.000003
0.0400, 0.9877, 4.1705, 4.1191, 0.001447
0.0450, 0.9671, 4.2473, 4.1077, -0.000235
0.0500, 0.9467, 4.2593, 4.0324, 0.000529
0.0550, 0.9267, 4.2978, 3.9827, 0.001052
0.0600, 0.9070, 4.3037, 3.9034, 0.000535
0.0650, 0.8877, 4.3036, 3.8201, 0.001089
0.0700, 0.8688, 4.3029, 3.7383, 0.000990
0.0750, 0.8503, 4.2932, 3.6505, 0.001090
0.0800, 0.8322, 4.2873, 3.5681, 0.001057
0.0850, 0.8146, 4.2773, 3.4843, 0.000986
0.0900, 0.7974, 4.2679, 3.4032, 0.001011
0.0950, 0.7806, 4.2574, 3.3232, 0.001014
